駄菓子,商品名（甘い系）,重さ（g）,値段（円）,賞味期限,,商品名（辛い系）,重さ（g）,値段（円）,賞味期限,,,駄菓子,商品名（塩っぽい）,重さ（g）,値段（円）,賞味期限,,,,,短い
1,チロルチョコ,11,23,10カ月,17,タラタラしてんじゃね～よ,10,50,４カ月,4,,23,うまい棒,8,15,5カ月,5,,,,
2,くっぴーラムネ,11,30,10カ月,18,焼肉さん太郎,3,15,5カ月,5,,24,キャベツ太郎,14,30,4カ月,4,,,,
3,フエラムネ,31,70,10カ月,19,酢だこさん太郎,5,15,4カ月,4,,25,ベビースターラーメン,23,35,8カ月,8,,,,
4,モロッコヨーグル,5,25,4カ月,20,のし梅さん太郎,3,15,3カ月,3,,26,ビッグカツ,18,40,6カ月,6,,,,
5,ヤングドーナツ,40,48,80日,21,ポテトフライ（フライドチキン味）,11,30,6カ月,6,,27,蒲焼さん太郎,3,15,5カ月,5,,,,
6,ココアシガレット,14,40,12カ月,22,辛口イカフライ,43,110,5カ月,5,,28,どんどん焼き,12,30,4カ月,4,,,,
7,ミニコーラ,9,30,12カ月,35,おやつカルパス,3.4,12,,,,29,ふがし,10,30,3カ月,3,,,,
8,ミニサワー,9,30,12カ月,,,,,,,,30,玉葱さん太郎,15,30,4カ月,4,,,,
9,ミニビタC,9,30,12カ月,,,,,,,,31,チーズあられ,18,40,4カ月,4,,,,
10,ラムネ,29,90,12カ月,,,,,,,,32,ソースせんべい,15,50,3カ月,3,,,,
11,チョコバット,16,36,6カ月,,,,,,,,33,おにぎりせんべい（小袋）,25,60,5カ月,5,,,,
12,ガブリチュウ,17,30,12カ月,,,,,,,,35,おやつカルパス,3.4,12,,,,,,
13,フルーツ餅,13,35,13カ月,,,,,,,,,,,,,,,,,
14,きなこ棒,26,30,4カ月,,,,,,,,,,,,,,,,,
15,梅ジャム,13,20,6カ月,,,,,,,,,,,,,,,,,
16,梅ミンツ,8,25,6カ月,,,,,,,,,,,,,,,,,
,,,,,,,,1個当たり,,,1個あたり,,,ミステリーパック　300gと仮定,,,,,,,
,,0.7倍,16.1,,,,,平均値段,35.70588235,,平均グラム,14.71764706,,平均個数,20.38369305,,,,,,
,,,21,,,,,,,,,,,値段,727.8177458,,,,,,
,,,49,,,,,,,,,,,,,,,,,,
,,,17.5,,,,,,平均賞味期限,6.755882,,,,,,,,,,,
,,,33.6,,,,,,,,,,,,,,,,,,
,,,28,,,,,,,,,,,,,,,,,,
,,,21,,,,,,,,,,,,,,,,,,
,,,21,,,,,,,,,,,,,,,,,,
,,,21,,,,,,,,,,,,,,,,,,
,,,63,,,,,,,,,,,,,,,,,,
,,,25.2,,,,,,,,,,,,,,,,,,
,,,21,,,,,,,,,,,,,,,,,,
,,,24.5,,,,,,,,,,,,,,,,,,
,,,21,,,,,,,,,,,,,,,,,,
,,,14,,,,,,,,,,,,,,,,,,
,,,17.5,,,,,,,,,,,,,,,,,,
