駄菓子,商品名（甘い系）,重さ（g）,値段（円）,賞味期限,,商品名（辛い系）,重さ（g）,値段（円）,賞味期限,,,駄菓子,商品名（塩っぽい）,重さ（g）,値段（円）,賞味期限
1,チロルチョコ,11,23,10カ月,17,タラタラしてんじゃね～よ,10,50,120日,,,23,うまい棒,8,15,5カ月
2,くっぴーラムネ,11,30,10カ月,18,焼肉さん太郎,3,15,5カ月,,,24,キャベツ太郎,14,30,4カ月
3,フエラムネ,31,70,10カ月,19,酢だこさん太郎,5,15,120日,,,25,ベビースターラーメン,23,35,240日
4,モロッコヨーグル,5,25,4カ月,20,のし梅さん太郎,3,15,3カ月,,,26,ビッグカツ,18,40,180日
5,ヤングドーナツ,40,48,80日,21,ポテトフライ（フライドチキン味）,11,30,6カ月,,,27,蒲焼さん太郎,3,15,150日
6,ココアシガレット,14,40,12カ月,22,辛口イカフライ,43,110,5カ月,,,28,どんどん焼き,12,30,4カ月
7,ミニコーラ,9,30,12カ月,,,,,,,,29,ふがし,10,30,3カ月
8,ミニサワー,9,30,12カ月,,,,,,,,30,玉葱さん太郎,15,30,4カ月
9,ミニビタC,9,30,12カ月,,,,,,,,31,チーズあられ,18,40,120日
10,ラムネ,29,90,12カ月,,,,,,,,32,ソースせんべい,15,50,3カ月
11,チョコバット,16,36,180日,,,,,,,,33,おにぎりせんべい（小袋）,25,60,5カ月
12,ガブリチュウ,17,30,12カ月,,,,,,,,34,チョコもち,35,108,8カ月
13,フルーツ餅,13,35,390日,,,,,,,,,,,,
14,きなこ棒,26,30,4カ月,,,,,,,,,,,,
15,梅ジャム,13,20,6カ月,,,,,,,,,,,,
16,梅ミンツ,8,25,6カ月,,,,,,,,,,,,
,,,,,,,,1個当たり,,,1個あたり,,,ミステリーパック　300gと仮定,,
,,,,,,,,平均値段,38.52941176,,平均グラム,15.64705882,,平均個数,19.17293233,
,,,,,,,,,,,,,,値段,738.7218045,
